# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-5.846319e-11	3.511933e+02	2.424616e-07	1.211723e-07	1.212893e-07
0.01          	-1.103752e-07	1.770624e+01	-2.263791e-07	-2.235648e-07	-2.814367e-09
0.015         	-8.619022e-08	1.857382e+01	-1.220059e-07	-1.471932e-07	2.518725e-08
0.02          	-1.006659e-07	1.539915e+01	9.403689e-07	3.695185e-07	5.708504e-07
0.025         	-1.046633e-07	1.335753e+01	6.862588e-07	2.384661e-07	4.477926e-07
0.03          	-1.037799e-07	1.186046e+01	6.880159e-07	2.402281e-07	4.477879e-07
0.035         	-1.001448e-07	1.074155e+01	6.055530e-07	2.026318e-07	4.029213e-07
0.04          	-9.519956e-08	9.883073e+00	5.837887e-07	1.966948e-07	3.870939e-07
0.045         	-8.979204e-08	9.207015e+00	5.638730e-07	1.921445e-07	3.717285e-07
0.05          	-9.721034e-09	8.661437e+00	6.433976e-07	3.119778e-07	3.314198e-07
0.055         	4.313960e-08	8.211296e+00	6.684285e-07	3.773538e-07	2.910746e-07
0.06          	7.783526e-08	7.832630e+00	6.699039e-07	4.127872e-07	2.571167e-07
0.065         	1.002689e-07	7.508738e+00	5.786325e-07	3.895851e-07	1.890474e-07
0.07          	1.143503e-07	7.227733e+00	7.324447e-07	4.805726e-07	2.518721e-07
0.075         	1.226452e-07	6.980961e+00	6.759249e-07	4.606077e-07	2.153172e-07
0.08          	1.269489e-07	6.761945e+00	6.740024e-07	4.639502e-07	2.100523e-07
0.085         	1.284648e-07	6.565855e+00	6.626198e-07	4.597748e-07	2.028451e-07
0.09          	1.280407e-07	6.388929e+00	6.535488e-07	4.548151e-07	1.987337e-07
0.095         	1.262697e-07	6.228265e+00	6.393824e-07	4.459609e-07	1.934215e-07
0.1           	1.235784e-07	6.081536e+00	6.326443e-07	4.399005e-07	1.927437e-07
0.105         	1.202735e-07	5.946793e+00	6.220254e-07	4.312863e-07	1.907392e-07
0.11          	1.165623e-07	5.822530e+00	6.097325e-07	4.214285e-07	1.883040e-07
0.115         	1.126035e-07	5.707454e+00	6.010483e-07	4.131277e-07	1.879206e-07
0.12          	1.085108e-07	5.600526e+00	5.913693e-07	4.041955e-07	1.871739e-07
0.125         	1.043676e-07	5.500884e+00	5.792979e-07	3.940165e-07	1.852814e-07
0.13          	1.002377e-07	5.407717e+00	5.686439e-07	3.845597e-07	1.840842e-07
0.135         	9.616052e-08	5.320349e+00	5.623553e-07	3.773382e-07	1.850171e-07
