# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-5.930848e-11	3.511933e+02	2.408696e-07	1.203755e-07	1.204941e-07
0.01          	-1.103758e-07	1.770624e+01	-2.265538e-07	-2.236527e-07	-2.901093e-09
0.015         	-8.619071e-08	1.857382e+01	-1.219513e-07	-1.471664e-07	2.521505e-08
0.02          	-1.006664e-07	1.539915e+01	9.879372e-07	3.933022e-07	5.946350e-07
0.025         	-1.046864e-07	1.335753e+01	6.524241e-07	2.215257e-07	4.308984e-07
0.03          	-1.037946e-07	1.186046e+01	6.847254e-07	2.385681e-07	4.461573e-07
0.035         	-1.001562e-07	1.074155e+01	6.055682e-07	2.026279e-07	4.029403e-07
0.04          	-9.520962e-08	9.883073e+00	5.817057e-07	1.956432e-07	3.860625e-07
0.045         	-8.980108e-08	9.207015e+00	5.648446e-07	1.926212e-07	3.722234e-07
0.05          	-9.729400e-09	8.661437e+00	6.440050e-07	3.122731e-07	3.317319e-07
0.055         	4.313198e-08	8.211296e+00	6.692870e-07	3.777755e-07	2.915115e-07
0.06          	7.782789e-08	7.832630e+00	6.698721e-07	4.127639e-07	2.571081e-07
0.065         	1.002616e-07	7.508738e+00	5.747325e-07	3.876278e-07	1.871047e-07
0.07          	1.143427e-07	7.227733e+00	7.320098e-07	4.803476e-07	2.516621e-07
0.075         	1.226387e-07	6.980961e+00	6.759366e-07	4.606070e-07	2.153296e-07
0.08          	1.269437e-07	6.761945e+00	6.738248e-07	4.638561e-07	2.099687e-07
0.085         	1.284598e-07	6.565855e+00	6.623705e-07	4.596450e-07	2.027255e-07
0.09          	1.280357e-07	6.388929e+00	6.536155e-07	4.548435e-07	1.987721e-07
0.095         	1.262650e-07	6.228265e+00	6.393780e-07	4.459540e-07	1.934240e-07
0.1           	1.235739e-07	6.081536e+00	6.326051e-07	4.398765e-07	1.927286e-07
0.105         	1.202692e-07	5.946793e+00	6.220159e-07	4.312772e-07	1.907387e-07
0.11          	1.165581e-07	5.822530e+00	6.098041e-07	4.214602e-07	1.883439e-07
0.115         	1.125996e-07	5.707454e+00	6.009966e-07	4.130979e-07	1.878987e-07
0.12          	1.085070e-07	5.600526e+00	5.913773e-07	4.041957e-07	1.871816e-07
0.125         	1.043639e-07	5.500884e+00	5.793826e-07	3.940552e-07	1.853274e-07
0.13          	1.002343e-07	5.407717e+00	5.684268e-07	3.844477e-07	1.839791e-07
0.135         	9.615715e-08	5.320349e+00	5.624756e-07	3.773949e-07	1.850806e-07
0.14          	9.216398e-08	5.238238e+00	5.516862e-07	3.680071e-07	1.836791e-07
0.145         	8.827132e-08	5.160911e+00	5.424550e-07	3.594988e-07	1.829562e-07
