# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-1.740944e-09	3.761441e+02	1.666573e-05	8.331124e-06	8.334606e-06
0.01          	-1.166575e-07	2.075516e+01	-7.120260e-06	-3.676787e-06	-3.443472e-06
0.015         	-6.471097e-08	2.778137e+01	7.556121e-07	3.130951e-07	4.425170e-07
0.02          	-8.671510e-08	2.085169e+01	-1.798411e-08	-9.570716e-08	7.772305e-08
0.025         	-8.138169e-08	1.812132e+01	4.470538e-07	1.421452e-07	3.049086e-07
0.03          	-7.373080e-08	1.619120e+01	4.435738e-07	1.480561e-07	2.955177e-07
0.035         	-6.660439e-08	1.483612e+01	3.752913e-07	1.210413e-07	2.542500e-07
0.04          	2.073265e-08	1.380096e+01	4.639916e-07	2.527285e-07	2.112632e-07
0.045         	6.861605e-08	1.297710e+01	4.695438e-07	3.033879e-07	1.661558e-07
0.05          	9.422905e-08	1.230002e+01	4.679655e-07	3.282118e-07	1.397537e-07
0.055         	1.069300e-07	1.173075e+01	4.888408e-07	3.513504e-07	1.374904e-07
0.06          	1.119869e-07	1.124352e+01	4.977426e-07	3.608582e-07	1.368844e-07
0.065         	1.124858e-07	1.082047e+01	4.976431e-07	3.613074e-07	1.363358e-07
0.07          	1.102684e-07	1.044875e+01	4.748952e-07	3.477160e-07	1.271792e-07
0.075         	1.556592e-07	1.011880e+01	4.554300e-07	3.833742e-07	7.205581e-08
0.08          	1.798064e-07	9.823389e+00	5.648567e-07	4.622347e-07	1.026219e-07
0.085         	1.915450e-07	9.556929e+00	6.180417e-07	5.005659e-07	1.174758e-07
0.09          	1.958450e-07	9.315004e+00	6.412815e-07	5.164858e-07	1.247957e-07
0.095         	1.956036e-07	9.094118e+00	6.593389e-07	5.252731e-07	1.340658e-07
0.1           	3.132329e-07	8.891390e+00	5.596359e-07	5.930508e-07	-3.341492e-08
0.105         	3.840691e-07	8.704541e+00	6.830300e-07	7.255841e-07	-4.255413e-08
0.11          	4.259741e-07	8.531608e+00	7.437616e-07	7.978549e-07	-5.409329e-08
0.115         	4.493453e-07	8.370971e+00	7.766624e-07	8.376765e-07	-6.101408e-08
0.12          	4.605135e-07	8.221273e+00	7.980140e-07	8.595205e-07	-6.150652e-08
0.125         	4.634962e-07	8.081341e+00	8.146329e-07	8.708127e-07	-5.617980e-08
0.13          	4.609329e-07	7.950188e+00	8.161607e-07	8.690133e-07	-5.285258e-08
0.135         	4.546056e-07	7.826952e+00	8.155524e-07	8.623818e-07	-4.682940e-08
0.14          	4.457432e-07	7.710884e+00	7.991134e-07	8.452999e-07	-4.618647e-08
0.145         	4.352047e-07	7.601334e+00	7.975873e-07	8.339984e-07	-3.641107e-08
0.15          	4.236033e-07	7.497730e+00	7.802684e-07	8.137375e-07	-3.346911e-08
0.155         	4.113754e-07	7.399576e+00	7.679932e-07	7.953720e-07	-2.737875e-08
0.16          	3.988299e-07	7.306407e+00	7.552625e-07	7.764611e-07	-2.119861e-08
0.165         	3.861887e-07	7.217841e+00	7.415151e-07	7.569463e-07	-1.543116e-08
0.17          	3.736145e-07	7.133524e+00	7.290080e-07	7.381185e-07	-9.110501e-09
0.175         	3.612204e-07	7.053140e+00	7.146278e-07	7.185343e-07	-3.906446e-09
0.18          	3.490858e-07	6.976381e+00	6.828283e-07	6.904999e-07	-7.671631e-09
0.185         	3.372649e-07	6.903022e+00	6.779600e-07	6.762449e-07	1.715091e-09
0.19          	3.257925e-07	6.832814e+00	6.635573e-07	6.575711e-07	5.986154e-09
0.195         	3.146923e-07	6.765547e+00	6.502188e-07	6.398017e-07	1.041711e-08
0.2           	3.039764e-07	6.701032e+00	6.310174e-07	6.194851e-07	1.153236e-08
0.205         	2.936497e-07	6.639089e+00	6.133041e-07	6.003017e-07	1.300239e-08
0.21          	3.349707e-07	6.579554e+00	4.032799e-07	5.366106e-07	-1.333307e-07
0.215         	3.601105e-07	6.522293e+00	5.600738e-07	6.401474e-07	-8.007362e-08
0.22          	3.751874e-07	6.467198e+00	6.432770e-07	6.968259e-07	-5.354894e-08
0.225         	3.836965e-07	6.414089e+00	6.786870e-07	7.230400e-07	-4.435304e-08
0.23          	4.924721e-07	6.362867e+00	5.226430e-07	7.537936e-07	-2.311506e-07
0.235         	5.673486e-07	6.313467e+00	6.947976e-07	9.147474e-07	-2.199498e-07
0.24          	6.195386e-07	6.265760e+00	7.980625e-07	1.018570e-06	-2.205074e-07
0.245         	6.558779e-07	6.219662e+00	8.354208e-07	1.073588e-06	-2.381675e-07
0.25          	6.807571e-07	6.175082e+00	9.088212e-07	1.135168e-06	-2.263465e-07
0.255         	6.971424e-07	6.131953e+00	8.999416e-07	1.147113e-06	-2.471716e-07
0.26          	7.071232e-07	6.090171e+00	9.410659e-07	1.177656e-06	-2.365902e-07
0.265         	7.121943e-07	6.049711e+00	8.687939e-07	1.146591e-06	-2.777973e-07
0.27          	7.134796e-07	6.010498e+00	9.172532e-07	1.172106e-06	-2.548531e-07
0.275         	7.118250e-07	5.972465e+00	9.320578e-07	1.177854e-06	-2.457961e-07
0.28          	7.078759e-07	5.935560e+00	9.038305e-07	1.159791e-06	-2.559606e-07
0.285         	7.021390e-07	5.899731e+00	9.239899e-07	1.164134e-06	-2.401440e-07
0.29          	6.950053e-07	5.864925e+00	9.307586e-07	1.160385e-06	-2.296260e-07
0.295         	6.867885e-07	5.831138e+00	8.869966e-07	1.130287e-06	-2.432902e-07
0.3           	6.777446e-07	5.798262e+00	8.912683e-07	1.123379e-06	-2.321104e-07
0.305         	6.680691e-07	5.766289e+00	8.502787e-07	1.093208e-06	-2.429297e-07
0.31          	6.579239e-07	5.735179e+00	8.467373e-07	1.081293e-06	-2.345552e-07
0.315         	6.474394e-07	5.704899e+00	8.539222e-07	1.074400e-06	-2.204783e-07
0.32          	6.367218e-07	5.675412e+00	8.363631e-07	1.054903e-06	-2.185402e-07
0.325         	6.258568e-07	5.646692e+00	8.226724e-07	1.037193e-06	-2.145206e-07
0.33          	6.149170e-07	5.618691e+00	8.188535e-07	1.024344e-06	-2.054903e-07
0.335         	6.039580e-07	5.591404e+00	8.342517e-07	1.021084e-06	-1.868321e-07
0.34          	5.930243e-07	5.564796e+00	8.364848e-07	1.011267e-06	-1.747819e-07
0.345         	5.821546e-07	5.538841e+00	8.379730e-07	1.001141e-06	-1.631681e-07
0.35          	5.713797e-07	5.513487e+00	8.185031e-07	9.806313e-07	-1.621281e-07
0.355         	5.607235e-07	5.488743e+00	8.147113e-07	9.680792e-07	-1.533679e-07
